Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees),Phase Shift (degrees)
8.078060755066351,7.426887438411392,7.822177248283836,7.263240077575705,7.598510982187657,5.487222768936985,7.423906379326278,7.638963208342101,7.835178075944088,7.345899724586841,7.526423678835049,7.696193627477675,8.444033968907892,6.969782476222805,7.3356928687928065,7.438221260688107,7.498365178215235,7.5481607647725975,7.583729497639737,7.605764016125136,7.615120294136527
7.022031491356691,7.574944905894095,5.241844276607392,7.491947379637226,7.95637061549236,7.32357434020454,7.58666680576761,8.44583567463016,7.310714102826328,7.530467247619143,7.7639933748636,6.243638253444335,7.191711907280925,7.4290911366639625,7.519805794502793,7.598540578755128,7.660983326571734,7.793020390121587,7.891959707875493,7.948831135155909,7.966426927293357
7.40211973865185,7.815182917906354,7.327469642876797,7.637330950962802,6.815557928180289,7.500004658166375,7.894545713791922,7.139618865433185,7.50174158262367,7.7345065301108455,3.915603805608166,7.287938053033687,7.4723233415745005,7.580293680392834,7.689807607207552,7.924091342191804,8.50117488776838,4.547460201665229,6.153573128273405,6.6662477430580545,6.695240837925201
7.523087885548291,7.896724666287573,7.481536789189978,7.98290612755398,7.374999447785653,7.637840755920711,6.009652192098457,7.44298553738784,7.644696605106854,10.244500766589345,7.268939960608245,7.484150484391703,7.611266099474447,7.836038907547587,8.598127360136715,6.371206487396005,7.072709711735525,7.219691560563388,7.312903248186135,7.343114512286892,7.341615457749211
7.631941487820064,7.099592855211309,7.593284690099865,6.33949709399255,7.497917183277169,7.953076817291721,7.284292460612552,7.5637690841670775,7.988709230106927,7.124237949251334,7.465274890109083,7.609403326206713,7.88634017681474,6.276845722344679,7.046288069521751,7.304017715853909,7.399114669598227,7.44128090323884,7.4643489340208165,7.472730650103017,7.469112838074331
7.8472011588024575,7.379406565812397,7.744945498930478,7.2254663485117145,7.601404291059309,1.6166125629128771,7.449591913554054,7.685457920175449,6.056866403578581,7.40544557497723,7.571576549050118,7.830525875362716,6.1248454387766635,7.111917724731873,7.3747884188552435,7.453383868347236,7.501112774162084,7.537549239023486,7.55850804302309,7.565110073122721,7.558471012306764
8.322369466494886,7.465934755132222,7.996914767084111,7.407975103420231,7.731370488434219,7.101972103895748,7.534087571826118,7.964109001650512,7.172149732526018,7.495726374151486,7.6642824158866025,8.557863259547613,7.053147536980618,7.377099618694113,7.471334776042762,7.536287317165101,7.587505378178088,7.621960016158725,7.640793262699402,7.645170190624323,7.636245930591561
1.9692281691277014,7.524367448928511,8.483023243434173,7.475001800265603,7.940201412651501,7.340504622466725,7.605007054682527,9.418857636233692,7.375440341446524,7.568288781658835,7.8839692559333665,6.2627517379707625,7.312000492721788,7.456618216986258,7.53814604341771,7.605942286405701,7.655702974656199,7.733669854255398,7.786064014601622,7.793955631793077,7.760980505506905
6.788823321881487,7.569854957462189,6.2791886712093214,7.519332208985325,8.358082619041014,7.40907469996443,7.656293374608749,6.349684841253556,7.435698709524892,7.621259562440039,8.175747597343692,7.047440264705101,7.398849668752088,7.5033553232665,7.589432363343933,7.656291930634301,7.7839711235225515,7.8809060506275435,7.929410056610554,7.933244975376884,7.896119687714357
7.035146146009479,7.59732825888396,6.86091922495594,7.548395598654416,9.59816926808421,7.4411653302626375,7.72992529652715,6.921764704838671,7.46699417782574,7.65332847454575,8.977043413949374,7.16159561106135,7.4341039563310245,7.534858276026427,7.62046392969316,7.72815682207053,7.875201968912096,7.9699023619188285,8.060506857204803,8.065608238898283,7.977708524031188
7.066860621280174,7.606516610861224,6.980057368806349,7.558119621905479,7.025050040667381,7.451471106860337,7.761734798523431,7.015427568233417,7.476716013487962,7.664066829429071,9.968395120147543,7.1998208123703655,7.444886841276401,7.545405434495312,7.630851910254195,7.759370895066139,7.905731777956952,7.999678730405381,8.169925695467326,8.17186749582036,8.018846141040683
7.035146146009479,7.59732825888396,6.86091922495594,7.548395598654416,9.59816926808421,7.4411653302626375,7.72992529652715,6.921764704838671,7.46699417782574,7.65332847454575,8.977043413949374,7.16159561106135,7.4341039563310245,7.534858276026427,7.62046392969316,7.72815682207053,7.875201968912096,7.9699023619188285,8.060506857204803,8.065608238898283,7.977708524031188
6.788823321881487,7.569854957462189,6.2791886712093214,7.519332208985325,8.358082619041014,7.40907469996443,7.656293374608749,6.349684841253556,7.435698709524892,7.621259562440039,8.175747597343692,7.047440264705101,7.398849668752088,7.5033553232665,7.589432363343933,7.656291930634301,7.7839711235225515,7.8809060506275435,7.929410056610554,7.933244975376884,7.896119687714357
1.9692281691277014,7.524367448928511,8.483023243434173,7.475001800265603,7.940201412651501,7.340504622466725,7.605007054682527,9.418857636233692,7.375440341446524,7.568288781658835,7.8839692559333665,6.2627517379707625,7.312000492721788,7.456618216986258,7.53814604341771,7.605942286405701,7.655702974656199,7.733669854255398,7.786064014601622,7.793955631793077,7.760980505506905
8.322369466494886,7.465934755132222,7.996914767084111,7.407975103420231,7.731370488434219,7.101972103895748,7.534087571826118,7.964109001650512,7.172149732526018,7.495726374151486,7.6642824158866025,8.557863259547613,7.053147536980618,7.377099618694113,7.471334776042762,7.536287317165101,7.587505378178088,7.621960016158725,7.640793262699402,7.645170190624323,7.636245930591561
7.8472011588024575,7.379406565812397,7.744945498930478,7.2254663485117145,7.601404291059309,1.6166125629128771,7.449591913554054,7.685457920175449,6.056866403578581,7.40544557497723,7.571576549050118,7.830525875362716,6.1248454387766635,7.111917724731873,7.3747884188552435,7.453383868347236,7.501112774162084,7.537549239023486,7.55850804302309,7.565110073122721,7.558471012306764
7.631941487820064,7.099592855211309,7.593284690099865,6.33949709399255,7.497917183277169,7.953076817291721,7.284292460612552,7.5637690841670775,7.988709230106927,7.124237949251334,7.465274890109083,7.609403326206713,7.88634017681474,6.276845722344679,7.046288069521751,7.304017715853909,7.399114669598227,7.44128090323884,7.4643489340208165,7.472730650103017,7.469112838074331
7.523087885548291,7.896724666287573,7.481536789189978,7.98290612755398,7.374999447785653,7.637840755920711,6.009652192098457,7.44298553738784,7.644696605106854,10.244500766589345,7.268939960608245,7.484150484391703,7.611266099474447,7.836038907547587,8.598127360136715,6.371206487396005,7.072709711735525,7.219691560563388,7.312903248186135,7.343114512286892,7.341615457749211
7.40211973865185,7.815182917906354,7.327469642876797,7.637330950962802,6.815557928180289,7.500004658166375,7.894545713791922,7.139618865433185,7.50174158262367,7.7345065301108455,3.915603805608166,7.287938053033687,7.4723233415745005,7.580293680392834,7.689807607207552,7.924091342191804,8.50117488776838,4.547460201665229,6.153573128273405,6.6662477430580545,6.695240837925201
7.022031491356691,7.574944905894095,5.241844276607392,7.491947379637226,7.95637061549236,7.32357434020454,7.58666680576761,8.44583567463016,7.310714102826328,7.530467247619143,7.7639933748636,6.243638253444335,7.191711907280925,7.4290911366639625,7.519805794502793,7.598540578755128,7.660983326571734,7.793020390121587,7.891959707875493,7.948831135155909,7.966426927293357
8.078060755066351,7.426887438411392,7.822177248283836,7.263240077575705,7.598510982187657,5.487222768936985,7.423906379326278,7.638963208342101,7.835178075944088,7.345899724586841,7.526423678835049,7.696193627477675,8.444033968907892,6.969782476222805,7.3356928687928065,7.438221260688107,7.498365178215235,7.5481607647725975,7.583729497639737,7.605764016125136,7.615120294136527
