,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,"(-142.86, -142.86)","(-128.57, -142.86)","(-114.29, -142.86)","(-100.00, -142.86)","(-85.71, -142.86)","(-71.43, -142.86)","(-57.14, -142.86)","(-42.86, -142.86)","(-28.57, -142.86)","(-14.29, -142.86)","(0.00, -142.86)","(14.29, -142.86)","(28.57, -142.86)","(42.86, -142.86)","(57.14, -142.86)","(71.43, -142.86)","(85.71, -142.86)","(100.00, -142.86)","(114.29, -142.86)","(128.57, -142.86)","(142.86, -142.86)"
2,"(-142.86, -128.57)","(-128.57, -128.57)","(-114.29, -128.57)","(-100.00, -128.57)","(-85.71, -128.57)","(-71.43, -128.57)","(-57.14, -128.57)","(-42.86, -128.57)","(-28.57, -128.57)","(-14.29, -128.57)","(0.00, -128.57)","(14.29, -128.57)","(28.57, -128.57)","(42.86, -128.57)","(57.14, -128.57)","(71.43, -128.57)","(85.71, -128.57)","(100.00, -128.57)","(114.29, -128.57)","(128.57, -128.57)","(142.86, -128.57)"
3,"(-142.86, -114.29)","(-128.57, -114.29)","(-114.29, -114.29)","(-100.00, -114.29)","(-85.71, -114.29)","(-71.43, -114.29)","(-57.14, -114.29)","(-42.86, -114.29)","(-28.57, -114.29)","(-14.29, -114.29)","(0.00, -114.29)","(14.29, -114.29)","(28.57, -114.29)","(42.86, -114.29)","(57.14, -114.29)","(71.43, -114.29)","(85.71, -114.29)","(100.00, -114.29)","(114.29, -114.29)","(128.57, -114.29)","(142.86, -114.29)"
4,"(-142.86, -100.00)","(-128.57, -100.00)","(-114.29, -100.00)","(-100.00, -100.00)","(-85.71, -100.00)","(-71.43, -100.00)","(-57.14, -100.00)","(-42.86, -100.00)","(-28.57, -100.00)","(-14.29, -100.00)","(0.00, -100.00)","(14.29, -100.00)","(28.57, -100.00)","(42.86, -100.00)","(57.14, -100.00)","(71.43, -100.00)","(85.71, -100.00)","(100.00, -100.00)","(114.29, -100.00)","(128.57, -100.00)","(142.86, -100.00)"
5,"(-142.86, -85.71)","(-128.57, -85.71)","(-114.29, -85.71)","(-100.00, -85.71)","(-85.71, -85.71)","(-71.43, -85.71)","(-57.14, -85.71)","(-42.86, -85.71)","(-28.57, -85.71)","(-14.29, -85.71)","(0.00, -85.71)","(14.29, -85.71)","(28.57, -85.71)","(42.86, -85.71)","(57.14, -85.71)","(71.43, -85.71)","(85.71, -85.71)","(100.00, -85.71)","(114.29, -85.71)","(128.57, -85.71)","(142.86, -85.71)"
6,"(-142.86, -71.43)","(-128.57, -71.43)","(-114.29, -71.43)","(-100.00, -71.43)","(-85.71, -71.43)","(-71.43, -71.43)","(-57.14, -71.43)","(-42.86, -71.43)","(-28.57, -71.43)","(-14.29, -71.43)","(0.00, -71.43)","(14.29, -71.43)","(28.57, -71.43)","(42.86, -71.43)","(57.14, -71.43)","(71.43, -71.43)","(85.71, -71.43)","(100.00, -71.43)","(114.29, -71.43)","(128.57, -71.43)","(142.86, -71.43)"
7,"(-142.86, -57.14)","(-128.57, -57.14)","(-114.29, -57.14)","(-100.00, -57.14)","(-85.71, -57.14)","(-71.43, -57.14)","(-57.14, -57.14)","(-42.86, -57.14)","(-28.57, -57.14)","(-14.29, -57.14)","(0.00, -57.14)","(14.29, -57.14)","(28.57, -57.14)","(42.86, -57.14)","(57.14, -57.14)","(71.43, -57.14)","(85.71, -57.14)","(100.00, -57.14)","(114.29, -57.14)","(128.57, -57.14)","(142.86, -57.14)"
8,"(-142.86, -42.86)","(-128.57, -42.86)","(-114.29, -42.86)","(-100.00, -42.86)","(-85.71, -42.86)","(-71.43, -42.86)","(-57.14, -42.86)","(-42.86, -42.86)","(-28.57, -42.86)","(-14.29, -42.86)","(0.00, -42.86)","(14.29, -42.86)","(28.57, -42.86)","(42.86, -42.86)","(57.14, -42.86)","(71.43, -42.86)","(85.71, -42.86)","(100.00, -42.86)","(114.29, -42.86)","(128.57, -42.86)","(142.86, -42.86)"
9,"(-142.86, -28.57)","(-128.57, -28.57)","(-114.29, -28.57)","(-100.00, -28.57)","(-85.71, -28.57)","(-71.43, -28.57)","(-57.14, -28.57)","(-42.86, -28.57)","(-28.57, -28.57)","(-14.29, -28.57)","(0.00, -28.57)","(14.29, -28.57)","(28.57, -28.57)","(42.86, -28.57)","(57.14, -28.57)","(71.43, -28.57)","(85.71, -28.57)","(100.00, -28.57)","(114.29, -28.57)","(128.57, -28.57)","(142.86, -28.57)"
10,"(-142.86, -14.29)","(-128.57, -14.29)","(-114.29, -14.29)","(-100.00, -14.29)","(-85.71, -14.29)","(-71.43, -14.29)","(-57.14, -14.29)","(-42.86, -14.29)","(-28.57, -14.29)","(-14.29, -14.29)","(0.00, -14.29)","(14.29, -14.29)","(28.57, -14.29)","(42.86, -14.29)","(57.14, -14.29)","(71.43, -14.29)","(85.71, -14.29)","(100.00, -14.29)","(114.29, -14.29)","(128.57, -14.29)","(142.86, -14.29)"
11,"(-142.86, 0.00)","(-128.57, 0.00)","(-114.29, 0.00)","(-100.00, 0.00)","(-85.71, 0.00)","(-71.43, 0.00)","(-57.14, 0.00)","(-42.86, 0.00)","(-28.57, 0.00)","(-14.29, 0.00)","(0.00, 0.00)","(14.29, 0.00)","(28.57, 0.00)","(42.86, 0.00)","(57.14, 0.00)","(71.43, 0.00)","(85.71, 0.00)","(100.00, 0.00)","(114.29, 0.00)","(128.57, 0.00)","(142.86, 0.00)"
12,"(-142.86, 14.29)","(-128.57, 14.29)","(-114.29, 14.29)","(-100.00, 14.29)","(-85.71, 14.29)","(-71.43, 14.29)","(-57.14, 14.29)","(-42.86, 14.29)","(-28.57, 14.29)","(-14.29, 14.29)","(0.00, 14.29)","(14.29, 14.29)","(28.57, 14.29)","(42.86, 14.29)","(57.14, 14.29)","(71.43, 14.29)","(85.71, 14.29)","(100.00, 14.29)","(114.29, 14.29)","(128.57, 14.29)","(142.86, 14.29)"
13,"(-142.86, 28.57)","(-128.57, 28.57)","(-114.29, 28.57)","(-100.00, 28.57)","(-85.71, 28.57)","(-71.43, 28.57)","(-57.14, 28.57)","(-42.86, 28.57)","(-28.57, 28.57)","(-14.29, 28.57)","(0.00, 28.57)","(14.29, 28.57)","(28.57, 28.57)","(42.86, 28.57)","(57.14, 28.57)","(71.43, 28.57)","(85.71, 28.57)","(100.00, 28.57)","(114.29, 28.57)","(128.57, 28.57)","(142.86, 28.57)"
14,"(-142.86, 42.86)","(-128.57, 42.86)","(-114.29, 42.86)","(-100.00, 42.86)","(-85.71, 42.86)","(-71.43, 42.86)","(-57.14, 42.86)","(-42.86, 42.86)","(-28.57, 42.86)","(-14.29, 42.86)","(0.00, 42.86)","(14.29, 42.86)","(28.57, 42.86)","(42.86, 42.86)","(57.14, 42.86)","(71.43, 42.86)","(85.71, 42.86)","(100.00, 42.86)","(114.29, 42.86)","(128.57, 42.86)","(142.86, 42.86)"
15,"(-142.86, 57.14)","(-128.57, 57.14)","(-114.29, 57.14)","(-100.00, 57.14)","(-85.71, 57.14)","(-71.43, 57.14)","(-57.14, 57.14)","(-42.86, 57.14)","(-28.57, 57.14)","(-14.29, 57.14)","(0.00, 57.14)","(14.29, 57.14)","(28.57, 57.14)","(42.86, 57.14)","(57.14, 57.14)","(71.43, 57.14)","(85.71, 57.14)","(100.00, 57.14)","(114.29, 57.14)","(128.57, 57.14)","(142.86, 57.14)"
16,"(-142.86, 71.43)","(-128.57, 71.43)","(-114.29, 71.43)","(-100.00, 71.43)","(-85.71, 71.43)","(-71.43, 71.43)","(-57.14, 71.43)","(-42.86, 71.43)","(-28.57, 71.43)","(-14.29, 71.43)","(0.00, 71.43)","(14.29, 71.43)","(28.57, 71.43)","(42.86, 71.43)","(57.14, 71.43)","(71.43, 71.43)","(85.71, 71.43)","(100.00, 71.43)","(114.29, 71.43)","(128.57, 71.43)","(142.86, 71.43)"
17,"(-142.86, 85.71)","(-128.57, 85.71)","(-114.29, 85.71)","(-100.00, 85.71)","(-85.71, 85.71)","(-71.43, 85.71)","(-57.14, 85.71)","(-42.86, 85.71)","(-28.57, 85.71)","(-14.29, 85.71)","(0.00, 85.71)","(14.29, 85.71)","(28.57, 85.71)","(42.86, 85.71)","(57.14, 85.71)","(71.43, 85.71)","(85.71, 85.71)","(100.00, 85.71)","(114.29, 85.71)","(128.57, 85.71)","(142.86, 85.71)"
18,"(-142.86, 100.00)","(-128.57, 100.00)","(-114.29, 100.00)","(-100.00, 100.00)","(-85.71, 100.00)","(-71.43, 100.00)","(-57.14, 100.00)","(-42.86, 100.00)","(-28.57, 100.00)","(-14.29, 100.00)","(0.00, 100.00)","(14.29, 100.00)","(28.57, 100.00)","(42.86, 100.00)","(57.14, 100.00)","(71.43, 100.00)","(85.71, 100.00)","(100.00, 100.00)","(114.29, 100.00)","(128.57, 100.00)","(142.86, 100.00)"
19,"(-142.86, 114.29)","(-128.57, 114.29)","(-114.29, 114.29)","(-100.00, 114.29)","(-85.71, 114.29)","(-71.43, 114.29)","(-57.14, 114.29)","(-42.86, 114.29)","(-28.57, 114.29)","(-14.29, 114.29)","(0.00, 114.29)","(14.29, 114.29)","(28.57, 114.29)","(42.86, 114.29)","(57.14, 114.29)","(71.43, 114.29)","(85.71, 114.29)","(100.00, 114.29)","(114.29, 114.29)","(128.57, 114.29)","(142.86, 114.29)"
20,"(-142.86, 128.57)","(-128.57, 128.57)","(-114.29, 128.57)","(-100.00, 128.57)","(-85.71, 128.57)","(-71.43, 128.57)","(-57.14, 128.57)","(-42.86, 128.57)","(-28.57, 128.57)","(-14.29, 128.57)","(0.00, 128.57)","(14.29, 128.57)","(28.57, 128.57)","(42.86, 128.57)","(57.14, 128.57)","(71.43, 128.57)","(85.71, 128.57)","(100.00, 128.57)","(114.29, 128.57)","(128.57, 128.57)","(142.86, 128.57)"
21,"(-142.86, 142.86)","(-128.57, 142.86)","(-114.29, 142.86)","(-100.00, 142.86)","(-85.71, 142.86)","(-71.43, 142.86)","(-57.14, 142.86)","(-42.86, 142.86)","(-28.57, 142.86)","(-14.29, 142.86)","(0.00, 142.86)","(14.29, 142.86)","(28.57, 142.86)","(42.86, 142.86)","(57.14, 142.86)","(71.43, 142.86)","(85.71, 142.86)","(100.00, 142.86)","(114.29, 142.86)","(128.57, 142.86)","(142.86, 142.86)"
